"...1","Year","State","State ANSI","Value","CV (%)","Type","Condition","Metric"
149,2021,"NEW JERSEY","34",NA,NA," FRESH MARKET","SALES"," CWT"
150,2021,"NEW YORK","36",45,"26.4","","SALES",""
151,2021,"NEW YORK","36",1755,"32.6","","PRODUCTION"," CWT"
152,2021,"NEW YORK","36",633111,"44.5","","SALES"," $"
153,2021,"NEW YORK","36",1755,"32.6","","SALES"," CWT"
154,2021,"NEW YORK","36",43,"25.3"," FRESH MARKET","SALES",""
155,2021,"NEW YORK","36",NA,NA," FRESH MARKET","SALES"," $"
156,2021,"NEW YORK","36",NA,NA," FRESH MARKET","SALES"," CWT"
157,2021,"NEW YORK","36",2,"94.9"," PROCESSING","SALES",""
158,2021,"NEW YORK","36",NA,NA," PROCESSING","SALES"," $"
159,2021,"NEW YORK","36",NA,NA," PROCESSING","SALES"," CWT"
160,2021,"NORTH CAROLINA","37",4,"68.3","","SALES",""
161,2021,"NORTH CAROLINA","37",734,"89.2","","PRODUCTION"," CWT"
162,2021,"NORTH CAROLINA","37",190000,NA,"","SALES"," $"
163,2021,"NORTH CAROLINA","37",734,"89.2","","SALES"," CWT"
164,2021,"NORTH CAROLINA","37",4,"68.3"," FRESH MARKET","SALES",""
165,2021,"NORTH CAROLINA","37",190000,NA," FRESH MARKET","SALES"," $"
166,2021,"NORTH CAROLINA","37",734,"89.2"," FRESH MARKET","SALES"," CWT"
167,2021,"OHIO","39",9,"72.1","","SALES",""
168,2021,"OHIO","39",360,"68.4","","PRODUCTION"," CWT"
169,2021,"OHIO","39",106638,"69.2","","SALES"," $"
170,2021,"OHIO","39",360,"68.4","","SALES"," CWT"
171,2021,"OHIO","39",9,"72.1"," FRESH MARKET","SALES",""
172,2021,"OHIO","39",106638,"69.2"," FRESH MARKET","SALES"," $"
173,2021,"OHIO","39",360,"68.4"," FRESH MARKET","SALES"," CWT"
174,2021,"OKLAHOMA","40",4,"70.4","","SALES",""
175,2021,"OKLAHOMA","40",1858,"69.9","","PRODUCTION"," CWT"
176,2021,"OKLAHOMA","40",NA,NA,"","SALES"," $"
177,2021,"OKLAHOMA","40",1858,"69.9","","SALES"," CWT"
178,2021,"OKLAHOMA","40",4,"70.4"," FRESH MARKET","SALES",""
179,2021,"OKLAHOMA","40",NA,NA," FRESH MARKET","SALES"," $"
180,2021,"OKLAHOMA","40",1858,"69.9"," FRESH MARKET","SALES"," CWT"
181,2021,"OREGON","41",26,"54.2","","SALES",""
182,2021,"OREGON","41",1362,"84.2","","PRODUCTION"," CWT"
183,2021,"OREGON","41",895054,NA,"","SALES"," $"
184,2021,"OREGON","41",1362,"84.2","","SALES"," CWT"
185,2021,"OREGON","41",26,"54.2"," FRESH MARKET","SALES",""
186,2021,"OREGON","41",895054,NA," FRESH MARKET","SALES"," $"
187,2021,"OREGON","41",1362,"84.2"," FRESH MARKET","SALES"," CWT"
188,2021,"PENNSYLVANIA","42",27,"48.1","","SALES",""
189,2021,"PENNSYLVANIA","42",522,"49.0","","PRODUCTION"," CWT"
190,2021,"PENNSYLVANIA","42",148898,"43.7","","SALES"," $"
191,2021,"PENNSYLVANIA","42",522,"49.0","","SALES"," CWT"
192,2021,"PENNSYLVANIA","42",27,"48.1"," FRESH MARKET","SALES",""
193,2021,"PENNSYLVANIA","42",148898,"43.7"," FRESH MARKET","SALES"," $"
194,2021,"PENNSYLVANIA","42",522,"49.0"," FRESH MARKET","SALES"," CWT"
195,2021,"RHODE ISLAND","44",2,NA,"","SALES",""
196,2021,"RHODE ISLAND","44",NA,NA,"","PRODUCTION"," CWT"
197,2021,"RHODE ISLAND","44",NA,NA,"","SALES"," $"
198,2021,"RHODE ISLAND","44",NA,NA,"","SALES"," CWT"
199,2021,"RHODE ISLAND","44",2,NA," FRESH MARKET","SALES",""
200,2021,"RHODE ISLAND","44",NA,NA," FRESH MARKET","SALES"," $"
201,2021,"RHODE ISLAND","44",NA,NA," FRESH MARKET","SALES"," CWT"
202,2021,"SOUTH CAROLINA","45",2,NA,"","SALES",""
203,2021,"SOUTH CAROLINA","45",NA,NA,"","PRODUCTION"," CWT"
204,2021,"SOUTH CAROLINA","45",NA,NA,"","SALES"," $"
205,2021,"SOUTH CAROLINA","45",NA,NA,"","SALES"," CWT"
206,2021,"SOUTH CAROLINA","45",2,NA," FRESH MARKET","SALES",""
207,2021,"SOUTH CAROLINA","45",NA,NA," FRESH MARKET","SALES"," $"
208,2021,"SOUTH CAROLINA","45",NA,NA," FRESH MARKET","SALES"," CWT"
209,2021,"SOUTH DAKOTA","46",1,NA,"","SALES",""
210,2021,"SOUTH DAKOTA","46",NA,NA,"","PRODUCTION"," CWT"
211,2021,"SOUTH DAKOTA","46",NA,NA,"","SALES"," $"
212,2021,"SOUTH DAKOTA","46",NA,NA,"","SALES"," CWT"
213,2021,"SOUTH DAKOTA","46",1,NA," FRESH MARKET","SALES",""
214,2021,"SOUTH DAKOTA","46",NA,NA," FRESH MARKET","SALES"," $"
215,2021,"SOUTH DAKOTA","46",NA,NA," FRESH MARKET","SALES"," CWT"
216,2021,"TENNESSEE","47",1,NA,"","SALES",""
217,2021,"TENNESSEE","47",NA,NA,"","PRODUCTION"," CWT"
218,2021,"TENNESSEE","47",NA,NA,"","SALES"," $"
219,2021,"TENNESSEE","47",NA,NA,"","SALES"," CWT"
220,2021,"TENNESSEE","47",1,NA," FRESH MARKET","SALES",""
221,2021,"TENNESSEE","47",NA,NA," FRESH MARKET","SALES"," $"
222,2021,"TENNESSEE","47",NA,NA," FRESH MARKET","SALES"," CWT"
223,2021,"VERMONT","50",31,"38.8","","SALES",""
224,2021,"VERMONT","50",1202,"39.1","","PRODUCTION"," CWT"
225,2021,"VERMONT","50",480304,"49.7","","SALES"," $"
226,2021,"VERMONT","50",1202,"39.1","","SALES"," CWT"
227,2021,"VERMONT","50",31,"38.8"," FRESH MARKET","SALES",""
228,2021,"VERMONT","50",480304,"49.7"," FRESH MARKET","SALES"," $"
229,2021,"VERMONT","50",1202,"39.1"," FRESH MARKET","SALES"," CWT"
